id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
8521,SunsplashedSerenity walk to Harvard & Fresh Pond,306681,Janet,,West Cambridge,42.38258,-71.13646,Entire home/apt,300,2,50,2022-08-28,0.31,2,353,5,C0121120491
11169,Lovely Studio Room: Available for long weekends,40965,Judy,,North Cambridge,42.3963,-71.13135,Private room,116,3,164,2022-11-09,1.06,3,348,12,
19581,"Furnished suite, Windsor",74249,Marc And Patty,,The Port,42.36258,-71.09603,Private room,185,10,8,2021-09-11,0.05,3,150,0,
27498,Furnished suite 2 @ the Windsor,74249,Marc And Patty,,The Port,42.36254,-71.09698,Private room,225,5,19,2022-10-21,0.13,3,180,6,
106474,large furnished suite in Central sq,74249,Marc And Patty,,The Port,42.36274,-71.09768,Private room,275,5,22,2022-10-12,0.16,3,185,4,ROT-10694669-006
108898,"""The Treehouse"" :   Elegant living near Harvard",306681,Janet,,West Cambridge,42.38227,-71.13643,Entire home/apt,204,2,34,2022-08-31,0.24,2,219,13,CO121110491
199317,EXCELLENT 1 BED + DEN HARVARD Square,87398,Ari,,Neighborhood Nine,42.37975,-71.12262,Entire home/apt,236,91,14,2018-10-27,0.10,2,365,0,
405144,Apartment in Harvard's Backyard,2018955,Nicole,,Riverside,42.3691,-71.11237,Entire home/apt,165,31,54,2021-07-29,0.41,1,364,0,
445407,East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37147,-71.08939,Entire home/apt,300,3,64,2022-08-13,0.50,2,61,8,STR-17249
456429,Elegant Airy Comfort. Workspace. Private Entrance.,2244099,Rebecca,,North Cambridge,42.39475,-71.12548,Entire home/apt,471,4,284,2022-10-18,2.21,1,163,19,
675441,Waterfront-1 Bed Room Luxury Condo,3423245,Elaine,,East Cambridge,42.37103,-71.07557,Private room,188,91,14,2015-05-28,0.11,1,365,0,
715532,"Quiet, Artistically Decorated Cambridge Apartment",3673828,Kate,,North Cambridge,42.39346,-71.13137,Entire home/apt,225,2,336,2022-11-27,2.69,1,231,46,C0262370491
742574,See Yourself in Central Square,1152305,Greg,,The Port,42.36545,-71.10268,Entire home/apt,160,30,129,2022-11-03,1.06,2,146,2,
860634,Home on quiet street near Harvard,4507945,Deborah,,Agassiz,42.38373,-71.11424,Private room,70,3,484,2022-11-11,4.09,1,67,20,
910408,School Term Housing in Mid Cambridge MA!,4883794,Melissa,,Mid-Cambridge,42.37136,-71.10781,Entire home/apt,100,30,7,2022-05-14,0.06,1,48,1,
1054635,"Sunny, lg 1-br, heart of Cambridge",3087212,Eleanor,,Mid-Cambridge,42.37285,-71.11263,Entire home/apt,130,91,12,2022-12-14,0.10,1,258,2,
1080789,"Available from Feb 5 to March 3, fabulous Home!",40965,Judy,,North Cambridge,42.39426,-71.13258,Entire home/apt,350,10,0,,,3,30,0,C0169140491
1097262,Harvard/MIT/BU/Central Square Room,6030020,Jason,,Cambridgeport,42.35734,-71.10973,Private room,65,14,47,2022-09-19,0.40,5,353,3,
1140201,"Great Room Near Harvard/MIT/BU, bikes available",6030020,Jason,,Cambridgeport,42.35966,-71.10854,Private room,65,14,75,2022-10-28,0.64,5,312,6,
1141088,MIT/Harvard/Inman- 2 Bedroom Apt.,2530211,Erin,,Wellington-Harrington,42.37324,-71.09635,Entire home/apt,162,2,511,2022-12-10,4.36,1,154,71,STR-14611
1154298,Quiet private room in N. Cambridge,6325607,John,,North Cambridge,42.39892,-71.13527,Private room,70,1,444,2022-12-23,3.85,1,318,40,C0244870491
1215512,Minutes to Harvard Square,2066283,Chunbai,,Strawberry Hill,42.37656,-71.15029,Entire home/apt,163,180,18,2022-10-17,0.19,1,362,2,
1216161,"Spacious townhouse in Cambridge, MA",6636728,Nomeda,,Mid-Cambridge,42.3757,-71.1086,Entire home/apt,135,91,3,2018-08-30,0.04,1,78,0,
1341022,"Long term only, Modern Entire Condo MIT/MGH $3600",6619766,C,,The Port,42.36721,-71.0949,Entire home/apt,134,91,44,2022-04-30,0.38,1,264,1,
1404377,Renovated Brownstone - MIT/Kendall Square,7579202,Jenny,,East Cambridge,42.36892,-71.08496,Private room,140,3,336,2022-06-03,2.94,2,0,8,STR-14761
1406416,City living at its finest!,7579202,Jenny,,East Cambridge,42.37121,-71.08116,Private room,140,3,228,2022-06-15,2.06,2,0,13,STR-14761
1450370,Lovely Loft Room in Cambridge. Close to Subway!!,6839881,Lisan,,Neighborhood Nine,42.38792,-71.12732,Private room,72,210,4,2018-03-30,0.04,6,120,0,
1632003,2 Cozy Rooms Near Harvard Square,8530114,Colleen,,Mid-Cambridge,42.37303,-71.10539,Private room,225,2,67,2022-10-31,0.60,1,46,15,
1711476,"Serene & cozy 1BR oasis, walk to  Harvard Square!",3402394,Case,,Mid-Cambridge,42.37301,-71.1041,Entire home/apt,130,32,66,2022-09-04,0.80,2,145,4,
1840256,Spacious Cambridge 1BR near Kendall Square & MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,20,2022-05-27,0.19,13,365,1,C0281180491
